NumIters Seconds LearningRate loss
0.0 57.708051 0.001 0.888798
50.0 100.420236 0.001 0.793555
100.0 143.159668 0.001 0.713069
150.0 185.876356 0.001 0.651816
200.0 228.629373 0.001 0.67482
250.0 271.3676 0.001 0.675797
300.0 314.12041 0.001 0.65404
350.0 356.831659 0.001 0.613181
400.0 399.579289 0.001 0.694365
450.0 442.334872 0.001 0.683154
500.0 485.092747 0.001 0.605017
550.0 527.851759 0.001 0.548738
600.0 570.595101 0.001 0.542774
650.0 613.328146 0.001 0.545316
700.0 656.092198 0.001 0.550911
750.0 698.818993 0.001 0.509941
800.0 741.539347 0.001 0.51385
850.0 784.283126 0.001 0.590738
900.0 827.038493 0.001 0.490169
950.0 869.777077 0.001 0.47118
1000.0 969.575519 0.001 0.546844
1050.0 1012.320061 0.001 0.415167
1100.0 1055.06178 0.001 0.385327
1150.0 1097.784778 0.001 0.431582
1200.0 1140.528131 0.001 0.430781
1250.0 1183.259815 0.001 0.430072
1300.0 1225.973037 0.001 0.401299
1350.0 1268.7203 0.001 0.415256
1400.0 1311.42917 0.001 0.422793
1450.0 1354.160062 0.001 0.343875
1500.0 1396.87799 0.001 0.335997
1550.0 1439.610482 0.001 0.34507
1600.0 1482.364558 0.001 0.501932
1650.0 1525.07595 0.001 0.314286
1700.0 1567.8201 0.001 0.375866
1750.0 1610.551116 0.001 0.366212
1800.0 1653.297166 0.001 0.316188
1850.0 1695.998804 0.001 0.325822
1900.0 1738.703655 0.001 0.361213
1950.0 1781.443154 0.001 0.357745
2000.0 1881.120987 0.001 0.300216
2050.0 1923.843133 0.001 0.309957
2100.0 1966.562397 0.001 0.401743
2150.0 2009.283198 0.001 0.260329
2200.0 2051.99087 0.001 0.254546
2250.0 2094.704558 0.001 0.236111
2300.0 2137.431038 0.001 0.329638
2350.0 2180.165862 0.001 0.190662
2400.0 2222.88991 0.001 0.257824
2450.0 2265.613046 0.001 0.196188
2500.0 2308.309711 0.001 0.251061
2550.0 2350.995788 0.0001 0.22704
2600.0 2393.724113 0.0001 0.2086
2650.0 2436.424582 0.0001 0.157472
2700.0 2479.166204 0.0001 0.188036
2750.0 2521.884944 0.0001 0.169405
2800.0 2564.626284 0.0001 0.190947
2850.0 2607.34947 0.0001 0.184644
2900.0 2650.061488 0.0001 0.203915
2950.0 2692.782231 0.0001 0.230041
3000.0 2792.55771 0.0001 0.206036
3050.0 2835.285769 0.0001 0.158406
3100.0 2878.014385 0.0001 0.187214
3150.0 2920.722438 0.0001 0.147498
3200.0 2963.46882 0.0001 0.186111
3250.0 3006.186842 0.0001 0.186635
3300.0 3048.912469 0.0001 0.107751
3350.0 3091.642609 0.0001 0.188907
3400.0 3134.34736 0.0001 0.15517
3450.0 3177.070954 0.0001 0.188209
3500.0 3219.798236 0.0001 0.162668
3550.0 3262.509928 0.0001 0.187933
3600.0 3305.218206 0.0001 0.172
3650.0 3347.947178 0.0001 0.104899
3700.0 3390.679797 0.0001 0.192147
3750.0 3433.400443 0.0001 0.160001
3800.0 3476.11445 0.0001 0.156602
3850.0 3518.837494 0.0001 0.128828
3900.0 3561.567624 0.0001 0.16605
3950.0 3604.278056 0.0001 0.130176
4000.0 3703.963187 0.0001 0.167551
4050.0 3746.698839 0.0001 0.190564
4100.0 3789.441357 0.0001 0.191254
4150.0 3832.172887 0.0001 0.126524
4200.0 3874.903524 0.0001 0.162468
4250.0 3917.617538 0.0001 0.129953
4300.0 3960.348902 0.0001 0.164212
4350.0 4003.069701 0.0001 0.134897
4400.0 4045.779189 0.0001 0.132296
4450.0 4088.510953 0.0001 0.112157
4500.0 4131.218002 0.0001 0.120336
4550.0 4173.933041 0.0001 0.133913
4600.0 4216.658646 0.0001 0.107439
4650.0 4259.360881 0.0001 0.203807
4700.0 4302.067561 0.0001 0.0868883
4750.0 4344.787915 0.0001 0.176913
4800.0 4387.508801 0.0001 0.119389
4850.0 4430.212782 0.0001 0.156754
4900.0 4472.916713 0.0001 0.124068
4950.0 4515.635952 0.0001 0.200044
5000.0 4669.328053 0.0001 0.113319
5050.0 4712.071509 1e-05 0.105163
5100.0 4754.772308 1e-05 0.112197
